group_id	region	country	med_node	T0	T1	T2	T3	T4	T5	T6	UNDATED	TOTAL
Argentina_Cordoba_4200BP	OUTGROUP	Argentina		0	1	0	0	0	0	0	0	1
Argentina_Cordoba_600BP	OUTGROUP	Argentina		14	0	0	0	0	0	0	0	14
Argentina_Cordoba_700BP	OUTGROUP	Argentina		28	0	0	0	0	0	0	0	28
Argentina_Cordoba_700BP-oEurope	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_Cordoba_800BP	OUTGROUP	Argentina		9	0	0	0	0	0	0	0	9
Argentina_Cordoba_8500BP	OUTGROUP	Argentina		0	0	1	0	0	0	0	0	1
Argentina_Cordoba_900BP	OUTGROUP	Argentina		3	0	0	0	0	0	0	0	3
Argentina_CostaParanaMedio_800BP_GoyaMalabrigo	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_EntreRios_700BP	OUTGROUP	Argentina		2	0	0	0	0	0	0	0	2
Argentina_EntreRios_700BP_GoyaMalabrigo	OUTGROUP	Argentina		4	0	0	0	0	0	0	0	4
Argentina_EntreRios_900BP	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_EntreRios_LateHolocene_GoyaMalabrigo	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_Formosa_1900BP_Chaco_EarlySubandean	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_Formosa_2200BP_Chaco_EarlySubandean	OUTGROUP	Argentina		0	1	0	0	0	0	0	0	1
Argentina_Jujuy_700BP	OUTGROUP	Argentina		6	0	0	0	0	0	0	0	6
Argentina_NorthTierradelFuego_500BP_LateHorizon_Selknam	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_NorthTierradelFuego_500BP_Selknam	OUTGROUP	Argentina		3	0	0	0	0	0	0	0	3
Argentina_NorthTierradelFuego_5800BP	OUTGROUP	Argentina		0	1	0	0	0	0	0	0	1
Argentina_Pampas_1600BP	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_Pampas_6800BP	OUTGROUP	Argentina		0	0	3	0	0	0	0	0	3
Argentina_Salta_600BP	OUTGROUP	Argentina		2	0	0	0	0	0	0	0	2
Argentina_SanLuis_1900BP	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_SanLuis_600BP_Comechingones	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_SantaFe_1700BP_GoyaMalabrigo	OUTGROUP	Argentina		2	0	0	0	0	0	0	0	2
Argentina_SantaFe_800BP_GoyaMalabrigo	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_SantaFe_LateHolocene_Esperanza	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_SantaFe_LateHolocene_GoyaMalabrigo	OUTGROUP	Argentina		2	0	0	0	0	0	0	0	2
Argentina_SantiagodelEstero_1000BP_Sunchituyoj	OUTGROUP	Argentina		3	0	0	0	0	0	0	0	3
Argentina_SantiagodelEstero_1400BP	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_SantiagodelEstero_1700BP	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_SantiagodelEstero_400BP	OUTGROUP	Argentina		35	0	0	0	0	0	0	0	35
Argentina_SantiagodelEstero_500BP	OUTGROUP	Argentina		12	0	0	0	0	0	0	0	12
Argentina_SantiagodelEstero_700BP	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_StraitofMagellan_100BP_Kaweskar	OUTGROUP	Argentina		3	0	0	0	0	0	0	0	3
Argentina_StraitofMagellan_100BP_Selknam	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_TierradelFuego_400BP_Haush	OUTGROUP	Argentina		6	0	0	0	0	0	0	0	6
Argentina_Tucuman_1600BP	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Armenia_AgarakTownStadium_Medieval	OUTGROUP	Armenia		3	0	0	0	0	0	0	0	3
Armenia_Aghitu_Antiquity	OUTGROUP	Armenia		3	0	0	0	0	0	0	0	3
Armenia_Aknashen_N	OUTGROUP	Armenia		0	0	4	0	0	0	0	0	4
Armenia_BagheriTchala_EIA	OUTGROUP	Armenia		0	13	0	0	0	0	0	0	13
Armenia_Beniamin_Antiquity	OUTGROUP	Armenia		6	2	0	0	0	0	0	0	8
Armenia_Beniamin_BA_IA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Beniamin_EIA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Beniamin_EarlyMedieval	OUTGROUP	Armenia		4	0	0	0	0	0	0	0	4
Armenia_Beniamin_IA_Urartian	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Beniamin_LBA	OUTGROUP	Armenia		0	2	0	0	0	0	0	0	2
Armenia_BlackFortress_LBA_EIA	OUTGROUP	Armenia		0	5	0	0	0	0	0	0	5
Armenia_BlackFortress_Medieval_Modern	OUTGROUP	Armenia		1	0	0	0	0	0	0	0	1
Armenia_BoverIICemetery_BA_IA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_BoverIICemetery_IA_Urartian	OUTGROUP	Armenia		0	2	0	0	0	0	0	0	2
Armenia_Brardzryal_IA_Urartian	OUTGROUP	Armenia		0	10	0	0	0	0	0	0	10
Armenia_Brardzryal_IA_Urartian-o	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_C	OUTGROUP	Armenia		0	1	8	0	0	0	0	0	9
Armenia_DzhoghazBerkaber_EBA_KuraAraxes	OUTGROUP	Armenia		0	7	0	0	0	0	0	0	7
Armenia_DzoriGekh_LBA_IA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Harjis_Urartian_LIA	OUTGROUP	Armenia		0	6	0	0	0	0	0	0	6
Armenia_Kalavan_EBA_KuraAraxes	OUTGROUP	Armenia		0	4	0	0	0	0	0	0	4
Armenia_Kapan_EIA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Kaps_EBA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Kaps_EBA_KuraAraxes	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Karashamb_BA_IA	OUTGROUP	Armenia		0	2	0	0	0	0	0	0	2
Armenia_Karashamb_EIA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Karashamb_LBA	OUTGROUP	Armenia		0	3	0	0	0	0	0	0	3
Armenia_Karashamb_LBA_EIA	OUTGROUP	Armenia		0	21	0	0	0	0	0	0	21
Armenia_KarmirBlur_Antiquity	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_KarmirBlur_EIA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_KarmirBlur_EIA_Urartian	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_KarmirBlur_IA_Urartian	OUTGROUP	Armenia		0	5	0	0	0	0	0	0	5
Armenia_KarmirBlur_IA_Urartian-o	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_KarmirBlur_Urartian	OUTGROUP	Armenia		0	2	0	0	0	0	0	0	2
Armenia_Karnut_EBA_EIA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Karnut_EBA_KuraAraxes	OUTGROUP	Armenia		0	3	0	0	0	0	0	0	3
Armenia_Karnut_IA_Urartian	OUTGROUP	Armenia		0	2	0	0	0	0	0	0	2
Armenia_Katnaghbiur1_MBA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Keti_Antiquity	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Keti_EIA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Keti_IA_Urartian	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Keti_MBA	OUTGROUP	Armenia		0	2	0	0	0	0	0	0	2
Armenia_Lchashen_LBA	OUTGROUP	Armenia		0	15	0	0	0	0	0	0	15
Armenia_Lchashen_LBA-o	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Lchashen_LBA_EIA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_LernakertVeriBerd_MLBA	OUTGROUP	Armenia		0	5	0	0	0	0	0	0	5
Armenia_LoriBerd_IA_LateUrartian-1	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_LoriBerd_IA_Urartian-2	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_LoriBerd_LBA_EIA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_LoriBerd_LBA_IA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_MasisBlur_N	OUTGROUP	Armenia		0	0	2	0	0	0	0	0	2
Armenia_NerkinGetashen_LBA	OUTGROUP	Armenia		0	7	0	0	0	0	0	0	7
Armenia_NerkinGetashen_LBA-o	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_NerkinGetashen_LBA_EIA	OUTGROUP	Armenia		0	2	0	0	0	0	0	0	2
Armenia_NerkinGetashen_MBA	OUTGROUP	Armenia		0	2	0	0	0	0	0	0	2
Armenia_Norabak_BA_IA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Norabak_EIA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Noratus_Antiquity	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Noratus_BA_IA	OUTGROUP	Armenia		0	4	0	0	0	0	0	0	4
Armenia_Noratus_IA_Urartian	OUTGROUP	Armenia		0	2	0	0	0	0	0	0	2
Armenia_Noratus_LBA_EIA	OUTGROUP	Armenia		0	3	0	0	0	0	0	0	3
Armenia_Noratus_LBA_IA	OUTGROUP	Armenia		0	11	0	0	0	0	0	0	11
Armenia_Pidjut_EIA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Pidjut_IA_Urartian	OUTGROUP	Armenia		0	7	0	0	0	0	0	0	7
Armenia_Sarukhan_Antiquity	OUTGROUP	Armenia		1	2	0	0	0	0	0	0	3
Armenia_Sarukhan_BA_IA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Sarukhan_EIA	OUTGROUP	Armenia		0	2	0	0	0	0	0	0	2
Armenia_Sarukhan_IA_Urartian	OUTGROUP	Armenia		0	2	0	0	0	0	0	0	2
Armenia_Sarukhan_LBA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Shengavit_EBA_KuraAraxes	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Talin_EBA_KuraAraxes	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Tavshut_MBA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Tekhut_BA_IA	OUTGROUP	Armenia		0	1	0	0	0	0	0	0	1
Armenia_Vardbakh_Antiquity	OUTGROUP	Armenia		1	0	0	0	0	0	0	0	1
Armenian	OUTGROUP	Armenia		2	0	0	0	0	0	0	0	2
Atayal	OUTGROUP	Taiwan		1	0	0	0	0	0	0	0	1
Australia_PreEuropean	OUTGROUP	Australia		9	0	0	0	0	0	0	0	9
Australian	OUTGROUP	Australia		2	0	0	0	0	0	0	0	2
Austria_AsparnSchletz_N_LBK	EUROPE_CONTROL	Austria		0	0	1	0	0	0	0	0	1
Austria_Avar	EUROPE_CONTROL	Austria		648	0	0	0	0	0	0	0	648
Austria_Avar-1	EUROPE_CONTROL	Austria		3	0	0	0	0	0	0	0	3
Austria_Avar-2	EUROPE_CONTROL	Austria		5	0	0	0	0	0	0	0	5
Austria_Avar-3	EUROPE_CONTROL	Austria		1	0	0	0	0	0	0	0	1
Austria_EN_LBK	EUROPE_CONTROL	Austria		0	0	6	0	0	0	0	0	6
Austria_EarlyMedieval	EUROPE_CONTROL	Austria		1	0	0	0	0	0	0	0	1
Austria_Gravettian	EUROPE_CONTROL	Austria		0	0	0	0	3	0	0	0	3
Austria_Hallein_IA_Hallstatt	EUROPE_CONTROL	Austria		0	2	0	0	0	0	0	0	2
Austria_Hallstatt_IA_Hallstatt	EUROPE_CONTROL	Austria		0	8	0	0	0	0	0	0	8
Austria_IA_LaTene	EUROPE_CONTROL	Austria		0	3	0	0	0	0	0	0	3
Austria_ImperialRoman	EUROPE_CONTROL	Austria		3	0	0	0	0	0	0	0	3
Austria_ImperialRoman-oAfrica-oLevant	EUROPE_CONTROL	Austria		1	0	0	0	0	0	0	0	1
Austria_ImperialRoman-oLevant	EUROPE_CONTROL	Austria		1	0	0	0	0	0	0	0	1
Austria_LateAntiquity_ImperialRoman	EUROPE_CONTROL	Austria		1	0	0	0	0	0	0	0	1
Austria_LateAntiquity_ImperialRoman-oLevant	EUROPE_CONTROL	Austria		3	0	0	0	0	0	0	0	3
Austria_Mesolithic	EUROPE_CONTROL	Austria		0	0	1	0	0	0	0	0	1
Austria_N_LBK	EUROPE_CONTROL	Austria		0	0	93	0	0	0	0	0	93
Austria_N_LBK-oHG	EUROPE_CONTROL	Austria		0	0	1	0	0	0	0	0	1
Avar	EUROPE_CONTROL	Russia		1	0	0	0	0	0	0	0	1
Aymara	OUTGROUP	Peru		1	0	0	0	0	0	0	0	1
Azerbaijan_Alkhantepe_LateC	OUTGROUP	Azerbaijan		0	1	0	0	0	0	0	0	1
Azerbaijan_MenteshTepe_LN_Caucasus	OUTGROUP	Azerbaijan		0	0	1	0	0	0	0	0	1
Azerbaijan_MenteshTepe_N_ShomutepeShulaveri	OUTGROUP	Azerbaijan		0	0	3	0	0	0	0	0	3
Azerbaijan_Polutepe_LN	OUTGROUP	Azerbaijan		0	0	1	0	0	0	0	0	1
Azerbaijan_Shamakhi_Antiquity	OUTGROUP	Azerbaijan		1	0	0	0	0	0	0	0	1
BEB	OUTGROUP	Bangladesh		85	0	0	0	0	0	0	0	85
BEB-o	OUTGROUP	Bangladesh		1	0	0	0	0	0	0	0	1
BEN	OUTGROUP	India		1	0	0	0	0	0	0	0	1
BIR	OUTGROUP	India		8	0	0	0	0	0	0	0	8
BIR-o	OUTGROUP	India		1	0	0	0	0	0	0	0	1
Bahamas_Abaco_Ceramic	OUTGROUP	Bahamas		4	0	0	0	0	0	0	0	4
Bahamas_Andros_Ceramic	OUTGROUP	Bahamas		10	0	0	0	0	0	0	0	10
Bahamas_Crooked_Ceramic	OUTGROUP	Bahamas		3	0	0	0	0	0	0	0	3
Bahamas_Eleuthera_Ceramic	OUTGROUP	Bahamas		10	0	0	0	0	0	0	0	10
Bahamas_Eleuthera_Ceramic-Dup	OUTGROUP	Bahamas		1	0	0	0	0	0	0	0	1
Bahamas_Long_Ceramic	OUTGROUP	Bahamas		4	0	0	0	0	0	0	0	4
Bahamas_Moores_Ceramic	OUTGROUP	Bahamas		1	0	0	0	0	0	0	0	1
Bahamas_RaggedIslandRange_Ceramic	OUTGROUP	Bahamas		1	0	0	0	0	0	0	0	1
Bahrain_EMTylos	OUTGROUP	Bahrain		1	0	0	0	0	0	0	0	1
Bahrain_LTylos_Sasanian	OUTGROUP	Bahrain		3	0	0	0	0	0	0	0	3
Balochi	OUTGROUP	Pakistan		26	0	0	0	0	0	0	0	26
Balti	OUTGROUP	Pakistan		18	0	0	0	0	0	0	0	18
BantuKenya	EAST_AFRICA	Kenya		13	0	0	0	0	0	0	0	13
BantuSA	OUTGROUP	Namibia		7	0	0	0	0	0	0	0	7
BantuSA_Ovambo	OUTGROUP	Angola		1	0	0	0	0	0	0	0	1
Bashkir	EUROPE_CONTROL	Russia		2	0	0	0	0	0	0	0	2
Bashkir-o	EUROPE_CONTROL	Russia		1	0	0	0	0	0	0	0	1
Basque	EUROPE_CONTROL	France		25	0	0	0	0	0	0	0	25
BedouinA	LEVANT	Israel		25	0	0	0	0	0	0	0	25
BedouinB	LEVANT	Israel		21	0	0	0	0	0	0	0	21
BedouinB_1	LEVANT	Israel		1	0	0	0	0	0	0	0	1
BedouinB_2	LEVANT	Israel		1	0	0	0	0	0	0	0	1
Belgium_Aurignacian	EUROPE_CONTROL	Belgium		0	0	0	0	1	0	0	0	1
Belgium_EarlyMedieval	EUROPE_CONTROL	Belgium		52	0	0	0	0	0	0	0	52
Belgium_EarlyMedieval_Merovingian	EUROPE_CONTROL	Belgium		4	0	0	0	0	0	0	0	4
Belgium_EarlyModern	EUROPE_CONTROL	Belgium		20	0	0	0	0	0	0	0	20
Belgium_Gravettian	EUROPE_CONTROL	Belgium		0	0	0	0	7	0	0	0	7
Belgium_HighMedieval	EUROPE_CONTROL	Belgium		183	0	0	0	0	0	0	0	183
Belgium_HighMedieval_LateMedieval	EUROPE_CONTROL	Belgium		40	0	0	0	0	0	0	0	40
Belgium_LN	EUROPE_CONTROL	Belgium		0	10	0	0	0	0	0	0	10
Belgium_LateMedieval	EUROPE_CONTROL	Belgium		11	0	0	0	0	0	0	0	11
Belgium_LateMedieval_EarlyModern	EUROPE_CONTROL	Belgium		48	0	0	0	0	0	0	0	48
Belgium_Magdalenian	EUROPE_CONTROL	Belgium		0	0	0	1	0	0	0	0	1
Belgium_Medieval	EUROPE_CONTROL	Belgium		42	0	0	0	0	0	0	0	42
Belgium_Merovingian	EUROPE_CONTROL	Belgium		2	0	0	0	0	0	0	0	2
Belgium_Mesolithic	EUROPE_CONTROL	Belgium		0	0	5	0	0	0	0	0	5
Belgium_Modern	EUROPE_CONTROL	Belgium		14	0	0	0	0	0	0	0	14
Belgium_N	EUROPE_CONTROL	Belgium		0	10	0	0	0	0	0	0	10
Belgium_N-o	EUROPE_CONTROL	Belgium		0	1	0	0	0	0	0	0	1
Belgium_N-oSteppe	EUROPE_CONTROL	Belgium		0	1	0	0	0	0	0	0	1
Belgium_Roman	EUROPE_CONTROL	Belgium		2	0	0	0	0	0	0	0	2
Belgium_UP	EUROPE_CONTROL	Belgium		0	0	0	0	1	0	0	0	1
Belize_5600BP_Archaic_Maya	OUTGROUP	Belize		0	3	0	0	0	0	0	0	3
Belize_7400BP_Archaic_Maya	OUTGROUP	Belize		0	0	2	0	0	0	0	0	2
Belize_8800BP_Archaic_Maya	OUTGROUP	Belize		0	0	1	0	0	0	0	0	1
Belize_9000BP_Archaic_Maya_possible	OUTGROUP	Belize		0	0	1	0	0	0	0	0	1
Belize_9400BP_Archaic_Maya	OUTGROUP	Belize		0	0	2	0	0	0	0	0	2
Belize_Archaic_4000BP_Maya	OUTGROUP	Belize		0	2	0	0	0	0	0	0	2
Belize_Archaic_4400BP_Maya	OUTGROUP	Belize		0	3	0	0	0	0	0	0	3
Belize_Archaic_4600BP_Maya	OUTGROUP	Belize		0	2	0	0	0	0	0	0	2
Belize_Archaic_5000BP_Maya	OUTGROUP	Belize		0	1	0	0	0	0	0	0	1
Belize_Archaic_5300BP_Maya	OUTGROUP	Belize		0	5	0	0	0	0	0	0	5
Biaka	OUTGROUP	Central African Republic		24	0	0	0	0	0	0	0	24
Bolivia_1050BP	OUTGROUP	Bolivia		1	0	0	0	0	0	0	0	1
Bolivia_Akapana_1000BP_Tiwanaku	OUTGROUP	Bolivia		4	0	0	0	0	0	0	0	4
Bolivia_Akapana_900BP_Tiwanaku	OUTGROUP	Bolivia		1	0	0	0	0	0	0	0	1
Bolivia_Lukurmata_1700BP_Tiwanaku	OUTGROUP	Bolivia		1	0	0	0	0	0	0	0	1
Bolivia_Lukurmata_500BP_Tiwanaku	OUTGROUP	Bolivia		1	0	0	0	0	0	0	0	1
Bolivia_Lukurmata_900BP_Tiwanaku	OUTGROUP	Bolivia		2	0	0	0	0	0	0	0	2
Bolivia_MHorizon	OUTGROUP	Bolivia		4	0	0	0	0	0	0	0	4
Bolivia_MirafloresTiticacaBasin_MHorizon_1100BP	OUTGROUP	Bolivia		3	0	0	0	0	0	0	0	3
Bolivia_MonolitoDescabezado_1000BP_Tiwanaku	OUTGROUP	Bolivia		1	0	0	0	0	0	0	0	1
Bolivia_Pumapunku_1200BP_Tiwanaku	OUTGROUP	Bolivia		1	0	0	0	0	0	0	0	1
Bolivia_Putuni_1200BP_Tiwanaku	OUTGROUP	Bolivia		1	0	0	0	0	0	0	0	1
Bolivia_Totocachi_500BP_Tiwanaku	OUTGROUP	Bolivia		1	0	0	0	0	0	0	0	1
BosniaHerzegovina_Medieval	OUTGROUP	Bosnia-Herzegovina		1	0	0	0	0	0	0	0	1
Botswana_EIA	OUTGROUP	Botswana		3	0	0	0	0	0	0	0	3
Brahmin	OUTGROUP	India		2	0	0	0	0	0	0	0	2
Brahui	OUTGROUP	Pakistan		28	0	0	0	0	0	0	0	28
Brazil_CentralMinasGerais_300BP_Botocudo	OUTGROUP	Brazil		1	0	0	0	0	0	0	0	1
